Title,Link,Description,Tags
Lifetime Contribution to Tiatr Awards (Commercial),https://www.myscheme.gov.in/schemes/lctac,"The scheme aims to recognize and honor tiatr artistes who have contributed immensely for the development of tiatr, its song and music in the past, addressing the need to acknowledge their lifetime dedication to this traditional art form. The scheme provides a comprehensive recognition package.","Culture, Artist, Award, Commercial, Theatre"
Lifetime Contribution to Khell/Khell-Tiatr Awards,https://www.myscheme.gov.in/schemes/lckkta,The scheme aims to recognize veteran Khell/Khell-Tiatr artistes who have made significant contributions to this traditional art form. It honors deserving artistes with lifetime achievement awards and cash burse.,"Artist, Award, Theatre, Culture, Heritage"
Lifetime Contribution to Konkani Cinema Award,https://www.myscheme.gov.in/schemes/lckca,"The scheme provides a prestigious annual award consisting of a shawl, memento, citation, and cash purse of ₹50,000/-, with recognition given at a special function held on 24th April every year on the anniversary of the release of the first Konkani film 'Mogacho Anvddo' by late Al-Jerry Braganza.","Artist, Cinema, Award, Culture, Heritage"
Lifetime Contribution to Tiatr Awards (Non-Commercial),https://www.myscheme.gov.in/schemes/lctanc,"The scheme recognizes and honors non-commercial artistes who have contributed immensely for the development of tiatr, its song and music through yearly Tiatr Festivals/Competitions organized by Kala Academy and by organizing tiatrs in villages, as well as artistes who have enriched Konkani Tiatr.","Award, Artist, Culture, Achievement, Heritage"
Living Craft Treasure Award,https://www.myscheme.gov.in/schemes/lcta,"The ""Living Craft Treasure Award"" scheme was launched by the Handlooms, Handicrafts, Textiles, and Khadi Department, Govt. of Tamil Nadu. This is the highest award for handicrafts at the state level was introduced in the year 2013-2014 to craftsperson of eminence who are above the age of 65 years.","Award, Artisans, Handicrafts, Financial Assistance, Senior Citizen"
Lokprasar Prakalpo Scheme,https://www.myscheme.gov.in/schemes/lps,"The scheme “Lokprasar Prakalpo Scheme” was launched by the Department of Information & Cultural Affairs, Government of West Bengal in 2014 to revive the Folk and Tribal Culture in their respective genre across various zones and districts in the State.","Folk, Artists, Tribal Culture, Pension, Financial Assistance, Performance Fee"
Madhya Pradesh Kalakar Evam Sahityakar Kalyan Kosh Niyam- Death Assistance,https://www.myscheme.gov.in/schemes/mpkskkn-da,The scheme aims to provide one-time financial assistance to the dependents of deceased artists and litterateurs.,"Financial Assistance, Artists, Litterateurs, Dependent, Death, Family"
Madhya Pradesh Kalakar Evam Sahityakar Kalyan Kosh Niyam- Disability Assistance,https://www.myscheme.gov.in/schemes/mpkskkn-d,The scheme aims to provide one-time financial assistance to physically disabled artists and litterateurs for disability-related medical treatment and rehabilitation.,"Financial Assistance, Disability, Artists, Litterateurs, Medical Treatment, Rehabilitation"
Madhya Pradesh Kalakar Evam Sahityakar Kalyan Kosh Niyam- Serious Illness / Accident / Calamity Assistance,https://www.myscheme.gov.in/schemes/mpkskkn-diancal,"The scheme aims to provide one-time financial assistance for serious illness, accident, or calamity-related medical treatment to artists and litterateurs.","Financial Assistance, Calamity, Illness, Accident, Artists, Litterateurs"
Madhya Pradesh Non-Government Institution Grant Scheme,https://www.myscheme.gov.in/schemes/mpngigs,"The scheme aims to support non-government cultural institutions by providing financial grants for cultural activities, training, equipment, and events.","Financial Assistance, Non-government Institution, Cultural, Art, Literature"
Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,https://www.myscheme.gov.in/schemes/mgioeca,"The ""Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities"" scheme was launched by the Arts and Culture Department, Puducherry. The scheme aims to provide a maintenance grant to the organizations engaged in cultural activities.","Financial Assistance, Maintenance Grant, Organization"
Marathi Drama Competition ‘A' & ‘B' Group,https://www.myscheme.gov.in/schemes/mdcabg,"The scheme ""Marathi Drama Competition 'A' & 'B' Group"" is a state-level initiative by the Kala Academy, under the Department of Art and Culture, Government of Goa. It provides a platform to urban and rural theatre groups and offers transport assistance for artistes and stage material as per govt.","Financial Assistance, Institutions, Prizes Awarded, Academy"
Marriage Assistance - Folk Artist,https://www.myscheme.gov.in/schemes/mafa,"The scheme ""Marriage Assistance"" was launched by the Art and Culture Department, Government of Tamil Nadu. This scheme provides financial assistance for the marriage of registered folk artists, or their son or daughter. The assistance aims to support the cultural community by helping with marriage.","Financial Assistance, Marriage, Folk Artist"
Meghalaya Sports & Wellness Centre Scheme,https://www.myscheme.gov.in/schemes/mswcs,The objective of the scheme is to improve the health and well-being of the local population. It promotes physical fitness and encourages participation in sports and wellness activities.,"Sports, Fitness, Mental Health, Exercise"
