Title,Link,Description,Tags
Additional Financial Assistance for the Children of Persons Engaged in the Cleaning Profession,https://www.myscheme.gov.in/schemes/pmsscpecp,"This scheme aims to provide additional financial assistance of ₹500/- per month to children of individuals working in cleaning/sanitation profession. This assistance is given to students already receiving a scholarship under Post-Matric Scholarship Scheme, ensuring their continued education.","Scholarship, Post-Matric, Sanitation Worker, Scavenger, Student"
Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,https://www.myscheme.gov.in/schemes/adthsg,The scheme provides hostel facilities to all boys and girls boarders studying up to XII Standard.,"Tribal Welfare, Adi Dravidar, Students, Hostels, Education, Accommodation"
Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std.,https://www.myscheme.gov.in/schemes/adtwspe,"The scheme provides reimbursement of public examination fees for 10th and 12th standard students from the Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities, with no income limit.","Tribal Welfare, Adi Dravidar, Examination Fee, Scholarship, Education"
Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,https://www.myscheme.gov.in/schemes/adtwsfe,"This scheme provides free education for Adi Dravidar, Tribal and Adi Dravidar (Converted to Christianity) students up to 12th standard, covering tuition fees, which are reimbursed by the government.","Tribal Welfare, Adi Dravidar, Free Education, Scholarship"
Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects,https://www.myscheme.gov.in/schemes/adtwip,"The scheme offers cash awards to students from the Adi Dravidar, Tribal communities, and Adi Dravidar converts to Christianity for excelling in academic subjects in 10th and Plus 2 examinations.","Tribal Welfare, Adi Dravidar, Students, Incentive, Education, Prizes"
Admission in Post Matric Hostel,https://www.myscheme.gov.in/schemes/aipmh,"The scheme was launched on 1st January1900, the scheme ""Admission in Post Matric Hostel"" by the Backward Classes and Minorities Welfare Department, Government of Madhya Pradesh, provides free accommodation to backward class students to support their education.","Backward Classes, Student, Hostel, Education"
Admission Process in All Government and Non-Government Schools of the State,https://www.myscheme.gov.in/schemes/apiaguk,"The scheme aims to provide free and accessible education for children from Class 1 to 8 by offering free education and essential learning materials, including books, shoe-bags, and meals, across all government and non-government schools in the state.","Free Education, Student, Anganwadi Bal Vatika, Admission In School"
Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,https://www.myscheme.gov.in/schemes/adtwdiap,The scheme “Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes” offers incentives to One Boy and One Girl each from Adi Dravidar/ Tribal/ Adi Dravidar Converted to Christianity who have secured highest mark who have achieved top marks in 10th and 12th standard examinations.,"Tribal Welfare, Adi Dravidar, Students, Financial Assistance, Education"
Adi Dravidar and Tribal Welfare Department: Stationary-Text Books,https://www.myscheme.gov.in/schemes/adtwstb,This scheme provides free textbooks to students from 1st to 12th standard in Adi Dravidar and Tribal welfare schools.,"Tribal Welfare, Adi Dravidar, Text Books, Education"
Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,https://www.myscheme.gov.in/schemes/aadtsrs,"This scheme provides education benefits by admitting top Adi Dravidar/Tribal Students into reputed private schools for Plus One, covering 320 students annually across districts.","Tribal Welfare, Adi Dravidar, Admission Assistance, Schools, Education"
Advocate Grant,https://www.myscheme.gov.in/schemes/ag,"The Scheme “Advocate Grant” was launched by the Backward Classes Development Department, Government of Kerala during the year 2012-13. Under the scheme, the grant will be provided to law graduates belonging to backward classes facing financial difficulties for starting practice as advocates.","Advocate, Grant, OBC, Law Graduate"
Advocate Graduate Stipend Gujarat,https://www.myscheme.gov.in/schemes/agsg,"Under this scheme, junior lawyers receive stipends up to ₹10,000 per month and their senior advocates receive an allowance of ₹5,000 per month.","Stipend, Advocate, Law, Scheduled Tribes, Youth"
Agriculture Academic Studies Scheme,https://www.myscheme.gov.in/schemes/aass,The objective of the Scheme is to sponsor students for undergoing 4 years of Graduate/degree courses in Agriculture/Horticulture against State quota seats in different Agriculture Universities in the country.,"Agriculture Universities, Academic, Student, Under Graduate, Horticulture, Sponsorship"
