Title,Link,Description,Tags
Sona Sobaran Dhoti Saree Distribution Scheme,https://www.myscheme.gov.in/schemes/ssdsds,"The ""Sona Sobaran Dhoti Saree Distribution Scheme"" by the Department of Food, Public Distribution and Consumer Affairs, Government of Jharkhand, provides one dhoti/lungi and one saree at a subsidized rate to NFSA and JSFSS beneficiaries to ensure clothing accessibility for low-income families","Clothes, Saree, Subsidized Rate"
Special Education - Tamil Nadu,https://www.myscheme.gov.in/schemes/sebwodap,"The scheme 'Special Education by Welfare of Differently Abled Persons' was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. The scheme aims to provide free special education, & vocational training to the visually impaired, hearing-impaired person.","Child, Visually Impaired, Hearing Impaired, Different Abled Person, Locomotor"
Sparsh Abhiyan: Surgery to Prevent Disability of Poor and Destitute Disabled People of Madhya Pradesh,https://www.myscheme.gov.in/schemes/sa-spdpddpmp,"The scheme aims to provide surgical treatment to prevent disability among poor and destitute disabled persons. Benefits include financial assistance/reimbursement for various surgeries related to visual, hearing, bone impairment, and leprosy, available to eligible residents of Madhya Pradesh.","Disability, Destitute, Surgery, Reimbursement, Hospital"
Special Education And Vocational Training Through Government Institutions,https://www.myscheme.gov.in/schemes/sevtgi,"In this scheme, Special Education is provided to children with disability between the age group of 6 to 18 years in the Government Special Schools and Vocational Training is provided to special children above the age of 18 years. Only citizens who are permanent residents of Maharashtra are eligible.","Persons With Disability, Education, Student, Vocational Education"
Spectacle Grant (Sainik Welfare),https://www.myscheme.gov.in/schemes/sg-sw,"""Spectacle Grant"" is a Welfare Scheme by the Armed Forces Flag Day Fund of the Dept of Sainik Welfare, Puducherry. Through this scheme, ₹2,000/- to the Ex-servicemen/Widows of Ex-servicemen for the purchase of Spectacle. The members of the Ex-Servicemen Contributory Health Scheme are not eligible.","Spectacle, Grant, Eyes, Financial Assistance, Widow"
Sponsorship Scheme (90% Centrally Funded),https://www.myscheme.gov.in/schemes/ss90cf,"The scheme aims to provide financial assistance to children upto age of 18 years, including those who have lost both parents, those whose main earning parent has died, & children who have suffered due to violation of laws, child labor, child trafficking, child marriage & similar circumstances.","Sponsorship, Child Labour, Orphan Child, Child Victims, Child Marriage, POCSO Victims"
Spectacles Scheme- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/sshlwb,"Under this scheme, financial assistance of up to ₹1,500/- is provided to workers employed in the industrial and commercial establishments of the state of Haryana for the purchase of spectacles in case of visual impairment.","Spectacle, Worker, Visual Impairment, Financial Assistance"
Teelu Rauteli Pension Scheme,https://www.myscheme.gov.in/schemes/dp-f,"The scheme aims to provide a monthly pension of ₹1,200/- to male and female individuals above 18 years of age who have incurred a partial disability of 20% to 40% while performing agricultural activities.","Pension, Agricultural Activities, Disability, PwD"
Temporary Disability (Hospitalization) Relief Scheme,https://www.myscheme.gov.in/schemes/tdhrs,"The ""Temporary Disability (Hospitalization) Relief Scheme"" welfare scheme by the Andhra Pradesh Building and Other Construction Workers Welfare Board offers financial assistance to registered construction workers who face temporary disability due to accidents or diseases.","Financial Assistance, Temporary Disability, Construction Worker"
Term Loan Scheme (GMFDC),https://www.myscheme.gov.in/schemes/tlsgmfdc,"The scheme aims to promote self-employment among individuals from the minority communities by providing financial assistance for agriculture and allied activities, small-scale businesses, craftsmanship, transport sector, traditional occupations, and service-based businesses/trades.","Minority, Self Employment, Business, Low Interest Loan"
Thatched House Repair Grant for Re-thatching & Repairs (Sainik Welfare),https://www.myscheme.gov.in/schemes/thrgrr-sw,"Through the ""Thatched House Repair Grant for Re-thatching & Repairs"" scheme, up to ₹40,000/- is provided to the registered ESM / Widows of ESM / Dependents of ESM every three years, for the re-thatching & repair of their house. The applicant should be receiving a Subsistence Allowance.","House, Repair, Ex-Serviceman, Widow, Dependent"
The Andaman & Nicobar Islands Allowance to Destitute Women Scheme,https://www.myscheme.gov.in/schemes/aniadws,"The scheme “The Andaman & Nicobar Islands Allowance to Destitute Women Scheme” is implemented by the Directorate of Social Welfare, Union Territory of Andaman and Nicobar Islands to provide financial assistance to the poorest and destitute women in the Andaman and Nicobar Islands.","Allowance, Destitute, Woman, Financial Assistance"
The Andaman & Nicobar Islands Disability Allowance Scheme,https://www.myscheme.gov.in/schemes/anidas,The objective of the scheme is to provide financial assistance to the differently able unemployed persons with 40% disability or more in the Andaman and Nicobar Islands.,"Disability, PwD, Financial Assistance, Persons With Disability, Unemployed, Allowance"
The Andaman & Nicobar Islands Old Age Assistance Scheme,https://www.myscheme.gov.in/schemes/anioaas,"The aim of the scheme is to provide social security by way of financial assistance to destitute, senior citizens who are without any means of subsistence and having no one to give financial support to them for their livelihood.","Pension, Senior Citizen, Financial Assistance, Old Age"
The Andaman & Nicobar Islands Widow Pension Scheme,https://www.myscheme.gov.in/schemes/aniwps,"The scheme “The Andaman & Nicobar Islands Widow Pension Scheme” is implemented by the Directorate of Social Welfare, Union Territory of Andaman and Nicobar Islands to provide financial assistance to poor and destitute widows in the Andaman and Nicobar Islands.","Widow, Pension, Woman, Financial Assistance, Poor"
The Artist Welfare Fund Of Assam,https://www.myscheme.gov.in/schemes/tawfa,"The scheme ""The Artist Welfare Fund of Assam"" is a scheme of financial asssistance by the Assam State Film (Finance and Development) Corporation, Department of Cultural Affairs, Govt. of Assam. The scheme extednds to the whole of Assam.","Financial Asisstance, Medical Aid, Culture, Accident, Education, Artist"
"The Meghalaya Victim Compensation Scheme, 2022",https://www.myscheme.gov.in/schemes/tmvcs,"The Meghalaya Victim Compensation Scheme, 2022 is a social welfare scheme introduced by the Social Welfare Department, Govt. of Meghalaya. Under this scheme, financial assistance to the victim along with support services such as shelter, counseling, medical aid, legal assistance, education, etc.","Victim, Shelter, Rehabilitation, Counselling, Legal Aid"
The Punjab Financial Assistance to Acid Victims Scheme,https://www.myscheme.gov.in/schemes/pfaavs,The objective of this Scheme is to provide monthly Financial Assistance to females who have been rendered 40% disabled due to acid attack. This scheme is fully state-sponsored.,"Financial Assistance, Acid Victim, Woman"
